player,pos,team,data_src,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles,src_pts
Tetairoa McMillan,WR,CAR,ESPN,0,0,0,0,0,83,1182,6,0,237.2
Zay Flowers,WR,BAL,ESPN,0,0,0,57,0,82,1170,5,0,234.7
Emeka Egbuka,WR,TB,ESPN,0,0,0,12,0,70,1127,7,0,225.9
Ladd McConkey,WR,LAC,ESPN,0,0,0,0,0,80,1039,6,0,219.9
Tee Higgins,WR,CIN,ESPN,0,0,0,0,0,73,955,8,0,216.5
Davante Adams,WR,LAR,ESPN,0,0,0,0,0,68,1014,11,0,235.4
Jaylen Waddle,WR,DEN,ESPN,0,0,0,12,0,77,993,6,0,213.5
Terry McLaurin,WR,WAS,ESPN,0,0,0,0,0,77,1051,6,0,218.10000000000002
DJ Moore,WR,BUF,ESPN,0,0,0,36,0,67,946,7,0,207.2
Jameson Williams,WR,DET,ESPN,0,0,0,45,1,64,1026,6,0,213.10000000000002
Rome Odunze,WR,CHI,ESPN,0,0,0,0,0,60,1034,8,0,211.4
Luther Burden III,WR,CHI,ESPN,0,0,0,49,0,76,941,5,0,205
Carnell Tate,WR,TEN,ESPN,0,0,0,0,0,75,1023,4,0,201.3
Mike Evans,WR,SF,ESPN,0,0,0,0,0,57,889,6,0,181.9
Marvin Harrison Jr.,WR,ARI,ESPN,0,0,0,0,0,69,954,5,0,194.4
Michael Pittman Jr.,WR,PIT,ESPN,0,0,0,0,0,88,863,4,0,198.3
DK Metcalf,WR,PIT,ESPN,0,0,0,0,0,65,944,6,0,195.4
Courtland Sutton,WR,DEN,ESPN,0,0,0,0,0,69,894,8,0,206.4
Christian Watson,WR,GB,ESPN,0,0,0,13,0,56,883,7,0,187.60000000000002
Parker Washington,WR,JAC,ESPN,0,0,0,39,0,64,849,5,0,182.8
Wan'Dale Robinson,WR,TEN,ESPN,0,0,0,22,0,79,823,2,0,175.5
Michael Wilson,WR,ARI,ESPN,0,0,0,0,0,71,860,3,0,175
Stefon Diggs,WR,WAS,ESPN,0,0,0,0,0,75,769,4,0,175.9
Travis Hunter,WR,JAC,ESPN,0,0,0,11,0,38,452,3,0,102.30000000000001
Alec Pierce,WR,IND,ESPN,0,0,0,0,0,60,941,5,0,184.10000000000002
